o_orderkey,o_custkey,o_orderstatus,o_totalprice,o_orderdate,o_orderpriority,o_clerk,o_shippriority,o_comment
10515,120897,O,14754.02,1994-06-12,2-HIGH,Clerk#000000282,0,Lazy dog
10516,112100,F,47930.8,1994-12-27,4-NOT SPECIFIED,Clerk#000000455,0,Lorem ipsum
10517,104430,O,19951.8,1994-08-13,2-HIGH,Clerk#000000733,0,Quick fox
10518,1925,O,8296.27,1993-07-07,4-NOT SPECIFIED,Clerk#000000571,0,Check address
10519,85016,F,715.08,1994-07-01,1-URGENT,Clerk#000000505,0,Deliver ASAP
10520,104988,P,28904.83,1998-02-06,2-HIGH,Clerk#000000067,0,Deliver ASAP
10521,54334,F,27315.9,1993-05-28,1-URGENT,Clerk#000000119,0,Lorem ipsum
10522,126373,P,19725.95,1992-08-18,2-HIGH,Clerk#000000327,0,Quick fox
10523,131379,O,11894.16,1996-05-13,1-URGENT,Clerk#000000384,0,Deliver ASAP
10524,88496,F,32854.01,1995-11-28,4-NOT SPECIFIED,Clerk#000000209,0,Quick fox
10525,69768,O,20962.58,1996-10-31,4-NOT SPECIFIED,Clerk#000000452,0,Standard order
10526,104333,O,8901.94,1998-05-06,4-NOT SPECIFIED,Clerk#000000670,0,Lorem ipsum
10527,143280,P,21785.45,1994-07-30,3-MEDIUM,Clerk#000000431,0,Check address
10528,39427,O,26297.9,1998-10-30,3-MEDIUM,Clerk#000000201,0,Deliver ASAP
10529,6337,P,47301.05,1992-03-02,1-URGENT,Clerk#000000027,0,Standard order
10530,112201,F,23998.77,1992-04-21,2-HIGH,Clerk#000000974,0,Lorem ipsum
10531,17257,O,24728.46,1994-04-07,4-NOT SPECIFIED,Clerk#000000808,0,Lazy dog
10532,33720,P,27066.21,1993-10-07,3-MEDIUM,Clerk#000000628,0,Quick fox
10533,42018,F,34279.14,1995-06-30,3-MEDIUM,Clerk#000000127,0,Check address
10534,45705,O,9393.55,1997-11-21,3-MEDIUM,Clerk#000000847,0,Quick fox
10535,30014,F,24567.19,1993-04-20,4-NOT SPECIFIED,Clerk#000000789,0,Check address
10536,79992,O,44087.7,1998-11-13,2-HIGH,Clerk#000000458,0,Check address
10537,70259,O,45177.7,1994-09-02,4-NOT SPECIFIED,Clerk#000000053,0,Deliver ASAP
10538,78349,F,42526.22,1992-07-24,2-HIGH,Clerk#000000502,0,Lorem ipsum
10539,10061,O,10607.3,1998-02-23,1-URGENT,Clerk#000000277,0,Lorem ipsum
10540,137728,F,25816.38,1995-11-30,3-MEDIUM,Clerk#000000812,0,Standard order
10541,49924,O,46600.6,1997-03-08,3-MEDIUM,Clerk#000000908,0,Lazy dog
10542,78564,O,429.98,1993-08-23,1-URGENT,Clerk#000000528,0,Quick fox
10543,135103,O,45066.9,1993-12-31,2-HIGH,Clerk#000000432,0,Lazy dog
10544,89780,P,8874.75,1992-08-26,3-MEDIUM,Clerk#000000769,0,Lorem ipsum
10545,99705,O,27151.35,1992-02-03,2-HIGH,Clerk#000000196,0,Check address
10546,129158,O,10270.36,1995-12-11,3-MEDIUM,Clerk#000000447,0,Standard order
10547,110235,P,43786.46,1995-05-22,2-HIGH,Clerk#000000011,0,Quick fox
10548,61688,P,38012.65,1994-08-22,2-HIGH,Clerk#000000285,0,Check address
10549,36492,O,20535.76,1994-08-29,1-URGENT,Clerk#000000796,0,Lazy dog
10550,72116,O,9792.09,1997-10-25,3-MEDIUM,Clerk#000000110,0,Lorem ipsum
10551,117936,O,22394.26,1994-05-28,2-HIGH,Clerk#000000944,0,Check address
10552,83779,F,5064.5,1995-09-29,4-NOT SPECIFIED,Clerk#000000053,0,Lorem ipsum
10553,135854,F,30040.07,1995-12-12,2-HIGH,Clerk#000000008,0,Check address
10554,20449,F,16946.76,1998-08-04,4-NOT SPECIFIED,Clerk#000000784,0,Lazy dog
10555,51551,O,954.3,1992-04-03,4-NOT SPECIFIED,Clerk#000000409,0,Lazy dog
10556,49295,O,21096.98,1993-05-10,3-MEDIUM,Clerk#000000587,0,Quick fox
10557,21447,F,35438.61,1998-03-26,4-NOT SPECIFIED,Clerk#000000263,0,Lorem ipsum
10558,76580,P,32192.51,1992-05-22,3-MEDIUM,Clerk#000000518,0,Lazy dog
10559,114680,P,5143.61,1997-04-19,2-HIGH,Clerk#000000801,0,Lorem ipsum
10560,85616,O,47766.2,1996-10-29,4-NOT SPECIFIED,Clerk#000000532,0,Quick fox
10561,17102,O,33945.47,1996-07-04,3-MEDIUM,Clerk#000000776,0,Quick fox
10562,28017,O,29886.01,1996-01-02,4-NOT SPECIFIED,Clerk#000000895,0,Check address
10563,90482,F,35396.97,1997-09-28,1-URGENT,Clerk#000000572,0,Check address
10564,52803,F,27795.1,1996-09-28,2-HIGH,Clerk#000000488,0,Check address
10565,7550,F,20270.06,1998-07-25,3-MEDIUM,Clerk#000000153,0,Check address
10566,47843,O,24377.64,1997-08-19,3-MEDIUM,Clerk#000000817,0,Lorem ipsum
10567,46540,P,22685.87,1995-03-30,1-URGENT,Clerk#000000313,0,Standard order
10568,33718,F,35625.62,1992-11-29,4-NOT SPECIFIED,Clerk#000000401,0,Deliver ASAP
10569,115043,P,38247.86,1992-09-17,4-NOT SPECIFIED,Clerk#000000778,0,Lorem ipsum
10570,127923,P,15686.98,1993-12-07,3-MEDIUM,Clerk#000000441,0,Check address
10571,92448,P,39275.55,1992-07-22,3-MEDIUM,Clerk#000000593,0,Lazy dog
10572,83403,P,26701.46,1994-10-07,3-MEDIUM,Clerk#000000056,0,Deliver ASAP
10573,42608,P,5136.74,1998-08-16,3-MEDIUM,Clerk#000000869,0,Quick fox
10574,12824,F,23281.31,1995-06-18,2-HIGH,Clerk#000000361,0,Check address
10575,29987,P,32409.23,1993-01-12,4-NOT SPECIFIED,Clerk#000000874,0,Lorem ipsum
10576,121683,O,33376.46,1996-03-18,3-MEDIUM,Clerk#000000450,0,Quick fox
10577,64326,F,2498.16,1995-08-18,4-NOT SPECIFIED,Clerk#000000502,0,Lorem ipsum
10578,127926,P,18135.21,1998-05-23,3-MEDIUM,Clerk#000000976,0,Standard order
10579,57772,P,14814.79,1993-02-16,2-HIGH,Clerk#000000487,0,Deliver ASAP
10580,54974,F,23572.19,1994-01-18,4-NOT SPECIFIED,Clerk#000000378,0,Check address
10581,145763,P,43698.28,1993-10-25,4-NOT SPECIFIED,Clerk#000000871,0,Check address
10582,39108,O,45953.31,1995-06-26,2-HIGH,Clerk#000000375,0,Quick fox
10583,57889,P,39449.89,1995-01-07,1-URGENT,Clerk#000000720,0,Lazy dog
10584,10957,F,48100.34,1995-04-19,2-HIGH,Clerk#000000415,0,Quick fox
10585,86840,F,22491.46,1996-10-29,4-NOT SPECIFIED,Clerk#000000285,0,Lazy dog
10586,101132,F,4881.91,1993-11-19,2-HIGH,Clerk#000000821,0,Lorem ipsum
10587,67595,O,41596.92,1998-03-03,1-URGENT,Clerk#000000135,0,Deliver ASAP
10588,11520,P,43657.29,1994-03-09,3-MEDIUM,Clerk#000000395,0,Standard order
10589,1833,F,19887.28,1996-08-27,4-NOT SPECIFIED,Clerk#000000574,0,Standard order
10590,113923,O,25874.37,1996-11-14,1-URGENT,Clerk#000000484,0,Lorem ipsum
10591,105475,O,12827.5,1997-01-20,3-MEDIUM,Clerk#000000669,0,Quick fox
10592,69716,F,14115.06,1993-03-30,4-NOT SPECIFIED,Clerk#000000004,0,Check address
10593,71836,F,48982.76,1996-12-28,3-MEDIUM,Clerk#000000498,0,Quick fox
10594,73367,O,14057.26,1995-08-05,4-NOT SPECIFIED,Clerk#000000872,0,Quick fox
10595,37571,F,48581.92,1995-03-25,4-NOT SPECIFIED,Clerk#000000327,0,Lazy dog
10596,137688,F,13991.54,1995-06-07,1-URGENT,Clerk#000000073,0,Standard order
10597,38312,O,41620.53,1994-06-21,4-NOT SPECIFIED,Clerk#000000389,0,Standard order
10598,90246,P,8298.53,1997-10-06,4-NOT SPECIFIED,Clerk#000000961,0,Standard order
10599,103188,F,41780.23,1997-07-06,1-URGENT,Clerk#000000445,0,Check address
10600,23435,O,45535.88,1993-03-01,2-HIGH,Clerk#000000374,0,Quick fox
10601,86880,F,44729.8,1993-07-26,3-MEDIUM,Clerk#000000732,0,Deliver ASAP
10602,15740,F,3619.62,1995-04-18,2-HIGH,Clerk#000000961,0,Check address
10603,66203,P,39142.03,1996-08-29,3-MEDIUM,Clerk#000000561,0,Lorem ipsum
10604,98581,F,43562.19,1998-07-06,2-HIGH,Clerk#000000933,0,Deliver ASAP
10605,79600,F,17137.48,1992-07-31,1-URGENT,Clerk#000000401,0,Lorem ipsum
10606,116771,F,44578.46,1994-06-05,4-NOT SPECIFIED,Clerk#000000344,0,Quick fox
10607,39471,O,33216.95,1995-04-09,1-URGENT,Clerk#000000249,0,Lorem ipsum
10608,74966,F,23605.22,1994-12-10,2-HIGH,Clerk#000000987,0,Lazy dog
10609,125333,F,441.87,1996-08-20,4-NOT SPECIFIED,Clerk#000000651,0,Standard order
10610,129682,O,34338.93,1993-11-08,2-HIGH,Clerk#000000621,0,Lorem ipsum
10611,114301,F,39910.86,1997-02-23,4-NOT SPECIFIED,Clerk#000000787,0,Lorem ipsum
10612,37998,F,48107.67,1993-09-27,1-URGENT,Clerk#000000897,0,Check address
10613,97806,F,30885.09,1997-08-09,2-HIGH,Clerk#000000493,0,Lorem ipsum
10614,122203,P,7330.41,1996-02-02,4-NOT SPECIFIED,Clerk#000000826,0,Deliver ASAP
10615,2527,O,14160.64,1994-11-15,4-NOT SPECIFIED,Clerk#000000519,0,Lazy dog
10616,73340,O,27660.4,1998-02-12,1-URGENT,Clerk#000000982,0,Quick fox
10617,6575,O,13529.47,1993-07-20,1-URGENT,Clerk#000000902,0,Deliver ASAP
10618,8734,P,27032.73,1994-07-06,1-URGENT,Clerk#000000465,0,Standard order
10619,50291,O,12484.33,1998-01-07,4-NOT SPECIFIED,Clerk#000000326,0,Deliver ASAP
10620,72794,O,40743.83,1998-02-10,2-HIGH,Clerk#000000312,0,Quick fox
10621,36052,O,3195.59,1994-08-05,2-HIGH,Clerk#000000932,0,Quick fox
10622,15910,F,17495.41,1998-02-23,4-NOT SPECIFIED,Clerk#000000178,0,Standard order
10623,77339,P,3422.88,1996-05-24,4-NOT SPECIFIED,Clerk#000000667,0,Standard order
10624,73433,F,13625.76,1996-12-01,1-URGENT,Clerk#000000623,0,Lorem ipsum
10625,28134,O,5779.06,1994-04-13,4-NOT SPECIFIED,Clerk#000000768,0,Lorem ipsum
10626,79063,F,23056.72,1993-04-29,4-NOT SPECIFIED,Clerk#000000098,0,Lorem ipsum
10627,142351,O,4107.21,1993-07-14,3-MEDIUM,Clerk#000000059,0,Lazy dog
10628,111547,F,31575.97,1995-11-17,3-MEDIUM,Clerk#000000519,0,Lazy dog
10629,51459,F,34384.9,1997-11-07,2-HIGH,Clerk#000000532,0,Lorem ipsum
10630,55416,P,38512.07,1994-05-23,1-URGENT,Clerk#000000665,0,Check address
10631,54161,O,37034.23,1994-01-02,1-URGENT,Clerk#000000996,0,Lazy dog
10632,54400,P,22199.58,1997-07-27,1-URGENT,Clerk#000000178,0,Check address
10633,25299,O,37493.27,1994-12-01,2-HIGH,Clerk#000000891,0,Lazy dog
10634,89408,O,34611.56,1998-07-03,2-HIGH,Clerk#000000168,0,Lazy dog
10635,62514,O,32993.46,1992-11-27,2-HIGH,Clerk#000000208,0,Deliver ASAP
10636,51098,F,18407.77,1994-12-07,1-URGENT,Clerk#000000956,0,Lazy dog
10637,145477,P,37812.73,1995-06-08,3-MEDIUM,Clerk#000000606,0,Check address
10638,35199,O,21268.93,1998-04-15,3-MEDIUM,Clerk#000000293,0,Quick fox
10639,49998,O,20534.38,1993-09-03,4-NOT SPECIFIED,Clerk#000000408,0,Check address
10640,131640,F,17651.47,1995-05-04,1-URGENT,Clerk#000000677,0,Lorem ipsum
10641,2180,O,28546.03,1993-08-06,3-MEDIUM,Clerk#000000827,0,Deliver ASAP
10642,2020,O,1269.35,1998-03-25,2-HIGH,Clerk#000000066,0,Standard order
10643,81456,F,26639.25,1995-12-16,2-HIGH,Clerk#000000141,0,Quick fox
10644,149777,F,25883.9,1993-05-27,1-URGENT,Clerk#000000463,0,Deliver ASAP
10645,149103,F,16678.66,1996-06-19,2-HIGH,Clerk#000000667,0,Lorem ipsum
10646,126884,P,16175.27,1996-12-23,4-NOT SPECIFIED,Clerk#000000863,0,Lazy dog
10647,69446,P,23740.21,1994-09-11,2-HIGH,Clerk#000000960,0,Lorem ipsum
10648,73552,P,31365.57,1998-07-24,3-MEDIUM,Clerk#000000259,0,Check address
10649,3421,O,6541.63,1993-02-18,4-NOT SPECIFIED,Clerk#000000166,0,Check address
10650,59876,P,7117.61,1997-04-18,1-URGENT,Clerk#000000054,0,Lazy dog
10651,16741,O,45458.24,1997-03-28,3-MEDIUM,Clerk#000000648,0,Standard order
10652,65264,P,15679.96,1995-12-20,3-MEDIUM,Clerk#000000517,0,Check address
10653,105790,O,13278.12,1997-04-16,3-MEDIUM,Clerk#000000980,0,Deliver ASAP
10654,19466,O,21187.97,1994-02-20,3-MEDIUM,Clerk#000000363,0,Check address
10655,4132,F,39168.28,1993-09-02,2-HIGH,Clerk#000000578,0,Standard order
10656,10653,P,36182.19,1992-08-14,2-HIGH,Clerk#000000815,0,Check address
10657,47672,F,39359.52,1992-02-29,1-URGENT,Clerk#000000876,0,Quick fox
10658,89343,O,38830.03,1992-03-03,3-MEDIUM,Clerk#000000508,0,Lazy dog
10659,19172,O,38045.25,1992-07-28,1-URGENT,Clerk#000000898,0,Quick fox
10660,58542,P,33600.77,1993-05-26,1-URGENT,Clerk#000000234,0,Standard order
10661,9471,O,13424.82,1994-06-28,1-URGENT,Clerk#000000836,0,Lazy dog
10662,44309,P,17855.96,1995-06-28,3-MEDIUM,Clerk#000000654,0,Check address
10663,135670,P,37483.66,1997-05-31,4-NOT SPECIFIED,Clerk#000000802,0,Deliver ASAP
10664,102841,P,27950.77,1992-06-26,3-MEDIUM,Clerk#000000518,0,Deliver ASAP
10665,49478,F,3131.88,1996-10-08,2-HIGH,Clerk#000000134,0,Check address
10666,108262,P,46805.77,1996-06-23,3-MEDIUM,Clerk#000000350,0,Standard order
10667,102467,P,38315.78,1994-03-23,3-MEDIUM,Clerk#000000384,0,Deliver ASAP
10668,33072,P,41367.9,1992-02-23,3-MEDIUM,Clerk#000000212,0,Standard order
10669,70561,P,49247.43,1996-03-04,3-MEDIUM,Clerk#000000691,0,Check address
10670,76763,P,31163.68,1992-06-04,3-MEDIUM,Clerk#000000048,0,Lorem ipsum
10671,143642,F,27401.57,1995-06-22,3-MEDIUM,Clerk#000000269,0,Check address
10672,2370,P,22847.05,1995-06-06,2-HIGH,Clerk#000000885,0,Standard order
10673,109964,O,30100.01,1998-09-02,2-HIGH,Clerk#000000409,0,Check address
10674,529,O,34467.74,1995-01-12,3-MEDIUM,Clerk#000000907,0,Lorem ipsum
10675,108807,P,7411.56,1995-06-03,2-HIGH,Clerk#000000252,0,Quick fox
10676,102980,P,28874.14,1997-07-20,2-HIGH,Clerk#000000222,0,Lazy dog
10677,149120,P,29442.45,1993-09-07,3-MEDIUM,Clerk#000000858,0,Quick fox
10678,19749,P,13043.12,1992-07-27,2-HIGH,Clerk#000000430,0,Check address
10679,35110,P,4027.3,1997-10-07,3-MEDIUM,Clerk#000000708,0,Deliver ASAP
10680,13920,O,5249.09,1997-08-31,3-MEDIUM,Clerk#000000559,0,Lorem ipsum
10681,47499,P,26275.78,1996-01-25,2-HIGH,Clerk#000000828,0,Deliver ASAP
10682,55809,P,724.21,1996-09-29,4-NOT SPECIFIED,Clerk#000000361,0,Lazy dog
10683,70442,P,10416.22,1998-11-04,4-NOT SPECIFIED,Clerk#000000443,0,Standard order
10684,113844,O,47535.38,1992-09-13,3-MEDIUM,Clerk#000000574,0,Quick fox
10685,74421,O,37822.49,1993-07-06,4-NOT SPECIFIED,Clerk#000000134,0,Check address
10686,107448,P,38772.42,1992-01-14,4-NOT SPECIFIED,Clerk#000000463,0,Standard order
10687,66897,O,2170.73,1996-04-03,3-MEDIUM,Clerk#000000526,0,Standard order
10688,103432,P,8836.48,1993-05-30,1-URGENT,Clerk#000000448,0,Quick fox
10689,47021,O,23832.23,1998-03-29,3-MEDIUM,Clerk#000000155,0,Lorem ipsum
10690,22162,P,43707.11,1998-06-21,2-HIGH,Clerk#000000252,0,Quick fox
10691,27739,F,24856.46,1994-07-01,2-HIGH,Clerk#000000099,0,Lazy dog
10692,134998,O,23293.15,1994-06-16,3-MEDIUM,Clerk#000000261,0,Check address
10693,139536,F,1560.01,1993-09-12,1-URGENT,Clerk#000000235,0,Lazy dog
10694,57154,O,49725.94,1994-05-05,4-NOT SPECIFIED,Clerk#000000843,0,Check address
10695,61010,F,14668.04,1997-08-20,4-NOT SPECIFIED,Clerk#000000589,0,Deliver ASAP
10696,87939,O,26050.24,1997-07-01,3-MEDIUM,Clerk#000000048,0,Check address
10697,99547,O,27888.05,1997-09-05,3-MEDIUM,Clerk#000000121,0,Lorem ipsum
10698,56272,P,16783.63,1994-09-20,4-NOT SPECIFIED,Clerk#000000191,0,Quick fox
10699,9798,O,32964.8,1992-02-13,2-HIGH,Clerk#000000366,0,Deliver ASAP
10700,86131,O,45779.11,1998-04-12,4-NOT SPECIFIED,Clerk#000000761,0,Deliver ASAP
10701,71943,F,44287.24,1992-09-19,4-NOT SPECIFIED,Clerk#000000763,0,Standard order
10702,118066,F,39153.89,1996-01-12,2-HIGH,Clerk#000000769,0,Lorem ipsum
10703,13966,F,9409.12,1995-05-19,3-MEDIUM,Clerk#000000500,0,Standard order
10704,13734,F,44317.02,1998-08-16,3-MEDIUM,Clerk#000000022,0,Check address
10705,127183,P,39683.6,1992-11-03,3-MEDIUM,Clerk#000000396,0,Lazy dog
10706,83361,F,41996.23,1994-01-11,3-MEDIUM,Clerk#000000692,0,Lazy dog
10707,108379,P,22347.39,1996-03-10,2-HIGH,Clerk#000000461,0,Deliver ASAP
10708,28288,P,47214.93,1997-08-13,4-NOT SPECIFIED,Clerk#000000042,0,Check address
10709,82105,F,22189.77,1995-08-23,4-NOT SPECIFIED,Clerk#000000912,0,Deliver ASAP
10710,86917,F,25840.19,1997-11-02,1-URGENT,Clerk#000000255,0,Lazy dog
10711,3189,F,18542.06,1997-09-27,2-HIGH,Clerk#000000249,0,Deliver ASAP
10712,91206,O,1491.67,1996-01-20,2-HIGH,Clerk#000000983,0,Standard order
10713,97350,F,19911.07,1996-02-11,2-HIGH,Clerk#000000976,0,Lorem ipsum
10714,137838,F,26041.62,1995-10-27,3-MEDIUM,Clerk#000000491,0,Lazy dog
10715,141880,P,16462.53,1993-10-17,2-HIGH,Clerk#000000075,0,Deliver ASAP
10716,10205,F,6601.87,1997-04-25,1-URGENT,Clerk#000000393,0,Deliver ASAP
10717,42121,O,11822.59,1993-04-21,3-MEDIUM,Clerk#000000376,0,Check address
10718,102904,F,36815.48,1995-02-28,4-NOT SPECIFIED,Clerk#000000155,0,Check address
10719,37082,F,41392.35,1994-11-18,2-HIGH,Clerk#000000468,0,Quick fox
10720,34987,P,18656.17,1995-08-25,3-MEDIUM,Clerk#000000979,0,Check address
10721,79323,O,30679.75,1997-10-10,3-MEDIUM,Clerk#000000240,0,Lorem ipsum
10722,94820,O,32879.82,1992-04-12,1-URGENT,Clerk#000000719,0,Deliver ASAP
10723,130016,F,14219.79,1993-09-08,1-URGENT,Clerk#000000905,0,Check address
10724,50305,O,5497.05,1997-05-07,3-MEDIUM,Clerk#000000207,0,Standard order
10725,65593,F,40246.54,1993-12-19,1-URGENT,Clerk#000000363,0,Lorem ipsum
10726,58549,P,12682.68,1995-03-28,3-MEDIUM,Clerk#000000311,0,Check address
10727,98448,O,45270.14,1996-08-03,3-MEDIUM,Clerk#000000744,0,Check address
10728,39987,F,2705.32,1995-08-14,3-MEDIUM,Clerk#000000534,0,Quick fox
10729,74096,P,1847.25,1993-06-10,1-URGENT,Clerk#000000977,0,Lazy dog
10730,91595,P,28647.8,1994-05-26,3-MEDIUM,Clerk#000000097,0,Deliver ASAP
10731,88282,F,25386.96,1992-08-09,2-HIGH,Clerk#000000029,0,Standard order
10732,66152,P,21742.29,1994-06-04,3-MEDIUM,Clerk#000000957,0,Quick fox
10733,73599,P,6146.51,1992-02-02,3-MEDIUM,Clerk#000000980,0,Lorem ipsum
10734,28215,F,10198.47,1995-11-24,4-NOT SPECIFIED,Clerk#000000705,0,Lazy dog
10735,38746,O,45186.83,1998-03-29,3-MEDIUM,Clerk#000000474,0,Standard order
10736,141754,O,26141.35,1996-06-24,1-URGENT,Clerk#000000357,0,Lorem ipsum
10737,138057,P,37324.61,1993-01-23,4-NOT SPECIFIED,Clerk#000000010,0,Standard order
10738,90811,F,3933.62,1993-11-24,2-HIGH,Clerk#000000753,0,Check address
10739,945,O,13968.46,1998-09-07,3-MEDIUM,Clerk#000000179,0,Check address
10740,93994,O,25942.02,1992-07-25,4-NOT SPECIFIED,Clerk#000000021,0,Deliver ASAP
10741,9115,P,1666.83,1996-12-30,3-MEDIUM,Clerk#000000672,0,Quick fox
10742,39847,P,31508.68,1995-03-15,4-NOT SPECIFIED,Clerk#000000553,0,Check address
10743,32597,O,21323.32,1998-05-16,1-URGENT,Clerk#000000434,0,Lazy dog
10744,104088,F,48390.51,1992-09-03,4-NOT SPECIFIED,Clerk#000000104,0,Lazy dog
10745,6908,F,42169.69,1995-07-16,2-HIGH,Clerk#000000398,0,Lorem ipsum
10746,25010,P,16515.14,1993-07-13,1-URGENT,Clerk#000000246,0,Lorem ipsum
10747,84847,O,30342.62,1997-11-12,1-URGENT,Clerk#000000927,0,Standard order
10748,50242,O,30121.99,1992-07-28,3-MEDIUM,Clerk#000000230,0,Standard order
10749,18997,P,38892.69,1995-05-18,1-URGENT,Clerk#000000569,0,Check address
10750,137120,P,39547.34,1993-10-29,1-URGENT,Clerk#000000406,0,Lazy dog
10751,28768,O,7396.12,1993-07-08,1-URGENT,Clerk#000000774,0,Check address
10752,16348,F,35715.27,1993-02-11,2-HIGH,Clerk#000000705,0,Quick fox
10753,102064,P,10021.67,1994-06-13,2-HIGH,Clerk#000000622,0,Quick fox
10754,24103,F,16295.69,1993-11-25,1-URGENT,Clerk#000000772,0,Quick fox
10755,4264,F,2525.33,1993-04-24,1-URGENT,Clerk#000000698,0,Standard order
10756,108586,O,16224.58,1995-12-26,2-HIGH,Clerk#000000378,0,Check address
10757,67439,F,16837.01,1997-10-11,4-NOT SPECIFIED,Clerk#000000592,0,Deliver ASAP
10758,96360,F,47157.58,1996-04-11,4-NOT SPECIFIED,Clerk#000000446,0,Lazy dog
10759,130252,O,13131.51,1995-11-24,4-NOT SPECIFIED,Clerk#000000616,0,Standard order
10760,27691,P,46770.4,1995-02-08,2-HIGH,Clerk#000000520,0,Lorem ipsum
10761,2995,F,8146.22,1993-07-03,2-HIGH,Clerk#000000360,0,Check address
10762,103534,P,19743.96,1996-04-29,4-NOT SPECIFIED,Clerk#000000410,0,Lorem ipsum
10763,67547,O,29561.35,1997-09-28,2-HIGH,Clerk#000000408,0,Lazy dog
10764,138450,O,18018.33,1995-07-29,1-URGENT,Clerk#000000019,0,Check address
10765,78573,O,8585.27,1993-05-29,2-HIGH,Clerk#000000489,0,Check address
10766,26468,O,1315.29,1997-08-16,3-MEDIUM,Clerk#000000215,0,Lorem ipsum
10767,131121,O,30761.35,1996-10-31,4-NOT SPECIFIED,Clerk#000000482,0,Quick fox
10768,47607,P,36644.99,1994-11-13,4-NOT SPECIFIED,Clerk#000000541,0,Deliver ASAP
10769,98113,P,6512.01,1995-12-25,2-HIGH,Clerk#000000029,0,Check address
10770,73415,O,7967.64,1995-08-06,1-URGENT,Clerk#000000322,0,Standard order
10771,93146,F,36148.02,1993-03-18,4-NOT SPECIFIED,Clerk#000000468,0,Check address
10772,48116,O,6582.68,1998-03-29,4-NOT SPECIFIED,Clerk#000000672,0,Lorem ipsum
10773,89607,O,27673.44,1994-12-05,1-URGENT,Clerk#000000784,0,Lorem ipsum
10774,40648,F,22946.94,1995-12-21,1-URGENT,Clerk#000000445,0,Lorem ipsum
10775,54608,F,16923.55,1994-02-13,3-MEDIUM,Clerk#000000622,0,Quick fox
10776,21997,O,9238.2,1994-06-01,2-HIGH,Clerk#000000164,0,Lazy dog
10777,83698,O,24087.24,1997-11-05,2-HIGH,Clerk#000000136,0,Deliver ASAP
10778,46023,F,22277.04,1995-11-15,4-NOT SPECIFIED,Clerk#000000992,0,Deliver ASAP
10779,40149,F,46255.91,1996-08-10,1-URGENT,Clerk#000000191,0,Standard order
10780,67765,O,21364.79,1994-01-29,2-HIGH,Clerk#000000778,0,Lazy dog
10781,91902,O,48603.61,1993-01-07,3-MEDIUM,Clerk#000000131,0,Standard order
10782,90725,F,10103.27,1994-01-25,1-URGENT,Clerk#000000456,0,Lorem ipsum
10783,124767,O,40161.19,1997-04-29,3-MEDIUM,Clerk#000000666,0,Standard order
10784,8889,P,6980.05,1997-07-07,3-MEDIUM,Clerk#000000175,0,Deliver ASAP
10785,98942,O,8088.55,1997-02-06,1-URGENT,Clerk#000000731,0,Standard order
10786,17334,F,40548.42,1997-04-22,1-URGENT,Clerk#000000041,0,Deliver ASAP
10787,36356,P,29747.36,1998-02-16,4-NOT SPECIFIED,Clerk#000000570,0,Lazy dog
10788,129687,O,35253.66,1993-12-19,4-NOT SPECIFIED,Clerk#000000082,0,Deliver ASAP
10789,103171,F,12711.19,1994-07-08,1-URGENT,Clerk#000000962,0,Check address
10790,75676,P,40635.03,1998-12-01,2-HIGH,Clerk#000000305,0,Lazy dog
10791,67665,F,27814.21,1994-03-24,1-URGENT,Clerk#000000728,0,Quick fox
10792,86154,O,34317.45,1997-01-26,3-MEDIUM,Clerk#000000803,0,Lorem ipsum
10793,93617,P,7742.42,1997-06-01,2-HIGH,Clerk#000000167,0,Lorem ipsum
10794,35286,O,30577.1,1994-05-21,2-HIGH,Clerk#000000335,0,Lazy dog
10795,148606,P,2736.5,1997-09-11,2-HIGH,Clerk#000000849,0,Deliver ASAP
10796,46997,O,13608.2,1993-11-18,1-URGENT,Clerk#000000851,0,Quick fox
10797,46948,P,41124.31,1996-11-17,3-MEDIUM,Clerk#000000245,0,Lazy dog
10798,51031,F,9452.79,1998-06-06,2-HIGH,Clerk#000000817,0,Quick fox
10799,42444,O,6220.89,1992-04-05,2-HIGH,Clerk#000000135,0,Quick fox
10800,128345,O,45804.86,1994-11-27,3-MEDIUM,Clerk#000000993,0,Standard order
10801,65465,F,47370.84,1997-09-06,4-NOT SPECIFIED,Clerk#000000139,0,Lazy dog
10802,128020,O,596.42,1992-01-11,2-HIGH,Clerk#000000569,0,Lorem ipsum
10803,135025,P,41957.25,1998-08-25,1-URGENT,Clerk#000000262,0,Lazy dog
10804,120455,F,45399.38,1997-12-10,3-MEDIUM,Clerk#000000834,0,Standard order
10805,124445,P,35798.19,1992-12-14,1-URGENT,Clerk#000000084,0,Lorem ipsum
10806,112176,F,29229.89,1998-09-08,1-URGENT,Clerk#000000888,0,Deliver ASAP
10807,42461,P,47753.91,1995-12-19,1-URGENT,Clerk#000000050,0,Deliver ASAP
10808,16,O,37546.66,1994-10-29,3-MEDIUM,Clerk#000000328,0,Lazy dog
10809,49758,P,38022.68,1994-10-01,2-HIGH,Clerk#000000876,0,Standard order
10810,81542,O,11283.33,1998-05-08,2-HIGH,Clerk#000000449,0,Standard order
10811,21293,F,41272.92,1995-05-03,1-URGENT,Clerk#000000318,0,Lazy dog
10812,122695,P,40122.31,1997-11-02,2-HIGH,Clerk#000000882,0,Check address
10813,47047,P,38545.26,1997-05-03,2-HIGH,Clerk#000000548,0,Check address
